names,scores,logfoldchanges,pvals,pvals_adj
COTL1,5.0779433,0.5640186,3.8154224675786146e-07,1.0463004379470525e-05
SNRPN,5.074292,0.782582,3.8894151474874936e-07,1.0637882638607712e-05
TMEM59,5.0691323,0.32963365,3.996334979031256e-07,1.0915973261621597e-05
IGLC2,5.066195,0.33359188,4.058457926724286e-07,1.105664179147111e-05
WWP1,5.0589714,0.3038041,4.215236459950412e-07,1.1453776981384839e-05
HCST,5.050319,0.86314595,4.410724835250403e-07,1.1922094622559812e-05
WNT4,5.046112,1.1030217,4.5089110715413864e-07,1.214081177788647e-05
CAP2,5.0390472,0.69412565,4.678551154207865e-07,1.2548887077794137e-05
PRDX3,5.0345225,0.30534774,4.790413335908668e-07,1.2783033740205514e-05
GSTP1,5.0309505,0.56106645,4.880543383975802e-07,1.2989769792543415e-05
LINGO1,5.030712,1.0363972,4.886609852772891e-07,1.2989769792543415e-05
GLRX5,5.028728,0.41791967,4.937447359636548e-07,1.3108167008096314e-05
EIF4E,4.998643,0.48540425,5.773526056235124e-07,1.5153867759707171e-05
LRPPRC,4.996976,0.38701153,5.823638682654247e-07,1.5246945351039686e-05
CFB,4.9931655,0.38933283,5.93976129072904e-07,1.5531431093622392e-05
